ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Height,Body mass index,Absenteeism time in hours
11,26,7,3,1,289.0,36.0,13.0,33.0,239554.0,97.0,0,1,2.0,1,0,1.0,172.0,30.0,4.0
3,23,7,4,1,179.0,51.0,18.0,38.0,239554.0,97.0,0,1,0.0,1,0,0.0,170.0,31.0,2.0
7,7,7,5,1,279.0,5.0,14.0,39.0,239554.0,97.0,0,1,2.0,1,1,0.0,168.0,24.0,4.0
11,23,7,5,1,289.0,36.0,13.0,33.0,239554.0,97.0,0,1,2.0,1,0,1.0,172.0,30.0,2.0
3,23,7,6,1,179.0,51.0,18.0,38.0,239554.0,97.0,0,1,0.0,1,0,0.0,170.0,31.0,2.0
10,22,7,6,1,361.0,52.0,3.0,28.0,239554.0,97.0,0,1,1.0,1,0,4.0,172.0,27.0,8.0
20,23,7,6,1,260.0,50.0,11.0,36.0,239554.0,97.0,0,1,4.0,1,0,0.0,168.0,23.0,4.0
14,19,7,2,1,155.0,12.0,14.0,34.0,239554.0,97.0,0,1,2.0,1,0,0.0,196.0,25.0,40.0
1,22,7,2,1,235.0,11.0,14.0,37.0,239554.0,97.0,0,3,1.0,0,0,1.0,172.0,29.0,8.0
20,1,7,2,1,260.0,50.0,11.0,36.0,239554.0,97.0,0,1,4.0,1,0,0.0,168.0,23.0,8.0
20,1,7,3,1,260.0,50.0,11.0,36.0,239554.0,97.0,0,1,4.0,1,0,0.0,168.0,23.0,8.0
20,11,7,4,1,260.0,50.0,11.0,36.0,239554.0,97.0,0,1,4.0,1,0,0.0,168.0,23.0,8.0
3,11,7,4,1,179.0,51.0,18.0,38.0,239554.0,97.0,0,1,0.0,1,0,0.0,170.0,31.0,1.0
3,23,7,4,1,179.0,51.0,18.0,38.0,239554.0,97.0,0,1,0.0,1,0,0.0,170.0,31.0,4.0
24,14,7,6,1,246.0,25.0,16.0,41.0,239554.0,97.0,0,1,0.0,1,0,0.0,170.0,23.0,8.0
3,23,7,6,1,179.0,51.0,18.0,38.0,239554.0,97.0,0,1,0.0,1,0,0.0,170.0,31.0,2.0
3,21,7,2,1,179.0,51.0,18.0,38.0,239554.0,97.0,0,1,0.0,1,0,0.0,170.0,31.0,8.0
6,11,7,5,1,189.0,29.0,13.0,33.0,239554.0,97.0,0,1,2.0,0,0,2.0,167.0,25.0,8.0
33,23,8,4,1,248.0,25.0,14.0,47.0,205917.0,92.0,0,1,2.0,0,0,1.0,165.0,32.0,2.0
18,10,8,4,1,330.0,16.0,4.0,28.0,205917.0,92.0,0,2,0.0,0,0,0.0,182.0,25.0,8.0
3,11,8,2,1,179.0,51.0,18.0,38.0,205917.0,92.0,0,1,0.0,1,0,0.0,170.0,31.0,1.0
10,13,8,2,1,361.0,52.0,3.0,28.0,205917.0,92.0,0,1,1.0,1,0,4.0,172.0,27.0,40.0
20,28,8,6,1,260.0,50.0,11.0,36.0,205917.0,92.0,0,1,4.0,1,0,0.0,168.0,23.0,4.0
11,18,8,2,1,289.0,36.0,13.0,33.0,205917.0,92.0,0,1,2.0,1,0,1.0,172.0,30.0,8.0
10,25,8,2,1,361.0,52.0,3.0,28.0,205917.0,92.0,0,1,1.0,1,0,4.0,172.0,27.0,7.0
11,23,8,3,1,289.0,36.0,13.0,33.0,205917.0,92.0,0,1,2.0,1,0,1.0,172.0,30.0,1.0
30,28,8,4,1,157.0,27.0,6.0,29.0,205917.0,92.0,0,1,0.0,1,1,0.0,185.0,22.0,4.0
11,18,8,4,1,289.0,36.0,13.0,33.0,205917.0,92.0,0,1,2.0,1,0,1.0,172.0,30.0,8.0
3,23,8,6,1,179.0,51.0,18.0,38.0,205917.0,92.0,0,1,0.0,1,0,0.0,170.0,31.0,2.0
3,18,8,2,1,179.0,51.0,18.0,38.0,205917.0,92.0,0,1,0.0,1,0,0.0,170.0,31.0,8.0
2,18,8,5,1,235.0,29.0,12.0,48.0,205917.0,92.0,0,1,1.0,0,1,5.0,163.0,33.0,8.0
1,23,8,5,1,235.0,11.0,14.0,37.0,205917.0,92.0,0,3,1.0,0,0,1.0,172.0,29.0,4.0
2,18,8,2,1,235.0,29.0,12.0,48.0,205917.0,92.0,0,1,1.0,0,1,5.0,163.0,33.0,8.0
3,23,8,2,1,179.0,51.0,18.0,38.0,205917.0,92.0,0,1,0.0,1,0,0.0,170.0,31.0,2.0
10,23,8,2,1,361.0,52.0,3.0,28.0,205917.0,92.0,0,1,1.0,1,0,4.0,172.0,27.0,1.0
11,24,8,3,1,289.0,36.0,13.0,33.0,205917.0,92.0,0,1,2.0,1,0,1.0,172.0,30.0,8.0
19,11,8,5,1,291.0,50.0,12.0,32.0,205917.0,92.0,0,1,0.0,1,0,0.0,169.0,23.0,4.0
2,28,8,6,1,235.0,29.0,12.0,48.0,205917.0,92.0,0,1,1.0,0,1,5.0,163.0,33.0,8.0
20,23,8,6,1,260.0,50.0,11.0,36.0,205917.0,92.0,0,1,4.0,1,0,0.0,168.0,23.0,4.0
27,23,9,3,1,184.0,42.0,7.0,27.0,241476.0,92.0,0,1,0.0,0,0,0.0,167.0,21.0,2.0
34,23,9,2,1,118.0,10.0,10.0,37.0,241476.0,92.0,0,1,0.0,0,0,0.0,172.0,28.0,4.0
3,23,9,3,1,179.0,51.0,18.0,38.0,241476.0,92.0,0,1,0.0,1,0,0.0,170.0,31.0,4.0
5,19,9,3,1,235.0,20.0,13.0,43.0,241476.0,92.0,0,1,1.0,1,0,0.0,167.0,38.0,8.0
14,23,9,4,1,155.0,12.0,14.0,34.0,241476.0,92.0,0,1,2.0,1,0,0.0,196.0,25.0,2.0
34,23,9,2,1,118.0,10.0,10.0,37.0,241476.0,92.0,0,1,0.0,0,0,0.0,172.0,28.0,3.0
3,23,9,3,1,179.0,51.0,18.0,38.0,241476.0,92.0,0,1,0.0,1,0,0.0,170.0,31.0,3.0
15,23,9,5,1,291.0,31.0,12.0,40.0,241476.0,92.0,0,1,1.0,1,0,1.0,171.0,25.0,4.0
20,22,9,6,1,260.0,50.0,11.0,36.0,241476.0,92.0,0,1,4.0,1,0,0.0,168.0,23.0,8.0
15,14,9,2,4,291.0,31.0,12.0,40.0,241476.0,92.0,0,1,1.0,1,0,1.0,171.0,25.0,32.0
28,23,9,3,4,225.0,26.0,9.0,28.0,241476.0,92.0,0,1,1.0,0,0,2.0,169.0,24.0,2.0
34,23,9,3,4,118.0,10.0,10.0,37.0,241476.0,92.0,0,1,0.0,0,0,0.0,172.0,28.0,2.0
28,18,9,4,4,225.0,26.0,9.0,28.0,241476.0,92.0,0,1,1.0,0,0,2.0,169.0,24.0,3.0
3,23,9,4,4,179.0,51.0,18.0,38.0,241476.0,92.0,0,1,0.0,1,0,0.0,170.0,31.0,3.0
33,23,9,6,4,248.0,25.0,14.0,47.0,241476.0,92.0,0,1,2.0,0,0,1.0,165.0,32.0,1.0
3,23,9,6,4,179.0,51.0,18.0,38.0,241476.0,92.0,0,1,0.0,1,0,0.0,170.0,31.0,3.0
20,23,9,6,4,260.0,50.0,11.0,36.0,241476.0,92.0,0,1,4.0,1,0,0.0,168.0,23.0,4.0
3,23,10,3,4,179.0,51.0,18.0,38.0,253465.0,93.0,0,1,0.0,1,0,0.0,170.0,31.0,3.0
34,23,10,3,4,118.0,10.0,10.0,37.0,253465.0,93.0,0,1,0.0,0,0,0.0,172.0,28.0,3.0
22,23,10,5,4,179.0,26.0,9.0,30.0,253465.0,93.0,0,3,0.0,0,0,0.0,171.0,19.0,1.0
3,23,10,6,4,179.0,51.0,18.0,38.0,253465.0,93.0,0,1,0.0,1,0,0.0,170.0,31.0,3.0
28,23,10,6,4,225.0,26.0,9.0,28.0,253465.0,93.0,0,1,1.0,0,0,2.0,169.0,24.0,3.0
34,23,10,3,4,118.0,10.0,10.0,37.0,253465.0,93.0,0,1,0.0,0,0,0.0,172.0,28.0,3.0
28,23,10,4,4,225.0,26.0,9.0,28.0,253465.0,93.0,0,1,1.0,0,0,2.0,169.0,24.0,2.0
33,23,10,4,4,248.0,25.0,14.0,47.0,253465.0,93.0,0,1,2.0,0,0,1.0,165.0,32.0,2.0
15,23,10,5,4,291.0,31.0,12.0,40.0,253465.0,93.0,0,1,1.0,1,0,1.0,171.0,25.0,5.0
3,23,10,4,4,179.0,51.0,18.0,38.0,253465.0,93.0,0,1,0.0,1,0,0.0,170.0,31.0,8.0
28,23,10,4,4,225.0,26.0,9.0,28.0,253465.0,93.0,0,1,1.0,0,0,2.0,169.0,24.0,3.0
20,19,10,5,4,260.0,50.0,11.0,36.0,253465.0,93.0,0,1,4.0,1,0,0.0,168.0,23.0,16.0
15,14,10,3,4,291.0,31.0,12.0,40.0,253465.0,93.0,0,1,1.0,1,0,1.0,171.0,25.0,8.0
28,28,10,3,4,225.0,26.0,9.0,28.0,253465.0,93.0,0,1,1.0,0,0,2.0,169.0,24.0,2.0
11,26,10,4,4,289.0,36.0,13.0,33.0,253465.0,93.0,0,1,2.0,1,0,1.0,172.0,30.0,8.0
10,23,10,6,4,361.0,52.0,3.0,28.0,253465.0,93.0,0,1,1.0,1,0,4.0,172.0,27.0,1.0
20,28,10,6,4,260.0,50.0,11.0,36.0,253465.0,93.0,0,1,4.0,1,0,0.0,168.0,23.0,3.0
3,23,11,5,4,179.0,51.0,18.0,38.0,306345.0,93.0,0,1,0.0,1,0,0.0,170.0,31.0,1.0
28,23,11,4,4,225.0,26.0,9.0,28.0,306345.0,93.0,0,1,1.0,0,0,2.0,169.0,24.0,1.0
3,13,11,5,4,179.0,51.0,18.0,38.0,306345.0,93.0,0,1,0.0,1,0,0.0,170.0,31.0,8.0
17,21,11,5,4,179.0,22.0,17.0,40.0,306345.0,93.0,0,2,2.0,0,1,0.0,170.0,22.0,8.0
15,23,11,5,4,291.0,31.0,12.0,40.0,306345.0,93.0,0,1,1.0,1,0,1.0,171.0,25.0,5.0
14,10,11,2,4,155.0,12.0,14.0,34.0,306345.0,93.0,0,1,2.0,1,0,0.0,196.0,25.0,32.0
6,22,11,2,4,189.0,29.0,13.0,33.0,306345.0,93.0,0,1,2.0,0,0,2.0,167.0,25.0,8.0
15,14,11,2,4,291.0,31.0,12.0,40.0,306345.0,93.0,0,1,1.0,1,0,1.0,171.0,25.0,40.0
28,23,11,4,4,225.0,26.0,9.0,28.0,306345.0,93.0,0,1,1.0,0,0,2.0,169.0,24.0,1.0
14,6,11,6,4,155.0,12.0,14.0,34.0,306345.0,93.0,0,1,2.0,1,0,0.0,196.0,25.0,8.0
28,23,11,4,4,225.0,26.0,9.0,28.0,306345.0,93.0,0,1,1.0,0,0,2.0,169.0,24.0,3.0
17,21,11,4,4,179.0,22.0,17.0,40.0,306345.0,93.0,0,2,2.0,0,1,0.0,170.0,22.0,8.0
28,13,11,6,4,225.0,26.0,9.0,28.0,306345.0,93.0,0,1,1.0,0,0,2.0,169.0,24.0,3.0
20,28,11,6,4,260.0,50.0,11.0,36.0,306345.0,93.0,0,1,4.0,1,0,0.0,168.0,23.0,4.0
33,28,11,2,4,248.0,25.0,14.0,47.0,306345.0,93.0,0,1,2.0,0,0,1.0,165.0,32.0,1.0
28,28,11,3,4,225.0,26.0,9.0,28.0,306345.0,93.0,0,1,1.0,0,0,2.0,169.0,24.0,3.0
11,7,11,4,4,289.0,36.0,13.0,33.0,306345.0,93.0,0,1,2.0,1,0,1.0,172.0,30.0,24.0
15,23,11,5,4,291.0,31.0,12.0,40.0,306345.0,93.0,0,1,1.0,1,0,1.0,171.0,25.0,3.0
33,23,12,3,4,248.0,25.0,14.0,47.0,261306.0,97.0,0,1,2.0,0,0,1.0,165.0,32.0,1.0
34,19,12,3,4,118.0,10.0,10.0,37.0,261306.0,97.0,0,1,0.0,0,0,0.0,172.0,28.0,64.0
36,23,12,4,4,118.0,13.0,18.0,50.0,261306.0,97.0,0,1,1.0,1,0,0.0,178.0,31.0,2.0
1,26,12,4,4,235.0,11.0,14.0,37.0,261306.0,97.0,0,3,1.0,0,0,1.0,172.0,29.0,8.0
28,23,12,5,4,225.0,26.0,9.0,28.0,261306.0,97.0,0,1,1.0,0,0,2.0,169.0,24.0,2.0
20,26,12,6,4,260.0,50.0,11.0,36.0,261306.0,97.0,0,1,4.0,1,0,0.0,168.0,23.0,8.0
34,19,12,3,4,118.0,10.0,10.0,37.0,261306.0,97.0,0,1,0.0,0,0,0.0,172.0,28.0,56.0
10,22,12,4,4,361.0,52.0,3.0,28.0,261306.0,97.0,0,1,1.0,1,0,4.0,172.0,27.0,8.0
28,28,12,5,4,225.0,26.0,9.0,28.0,261306.0,97.0,0,1,1.0,0,0,2.0,169.0,24.0,3.0
20,28,12,6,4,260.0,50.0,11.0,36.0,261306.0,97.0,0,1,4.0,1,0,0.0,168.0,23.0,3.0
28,23,12,3,4,225.0,26.0,9.0,28.0,261306.0,97.0,0,1,1.0,0,0,2.0,169.0,24.0,2.0
10,22,12,4,4,361.0,52.0,3.0,28.0,261306.0,97.0,0,1,1.0,1,0,4.0,172.0,27.0,8.0
34,27,12,6,4,118.0,10.0,10.0,37.0,261306.0,97.0,0,1,0.0,0,0,0.0,172.0,28.0,2.0
24,19,12,6,2,246.0,25.0,16.0,41.0,261306.0,97.0,0,1,0.0,1,0,0.0,170.0,23.0,8.0
28,23,12,6,2,225.0,26.0,9.0,28.0,261306.0,97.0,0,1,1.0,0,0,2.0,169.0,24.0,2.0
28,23,1,4,2,225.0,26.0,9.0,28.0,308593.0,95.0,0,1,1.0,0,0,2.0,169.0,24.0,1.0
34,19,1,2,2,118.0,10.0,10.0,37.0,308593.0,95.0,0,1,0.0,0,0,0.0,172.0,28.0,1.0
34,27,1,3,2,118.0,10.0,10.0,37.0,308593.0,95.0,0,1,0.0,0,0,0.0,172.0,28.0,1.0
14,18,1,3,2,155.0,12.0,14.0,34.0,308593.0,95.0,0,1,2.0,1,0,0.0,196.0,25.0,8.0
28,27,1,4,2,225.0,26.0,9.0,28.0,308593.0,95.0,0,1,1.0,0,0,2.0,169.0,24.0,2.0
27,23,1,5,2,184.0,42.0,7.0,27.0,308593.0,95.0,0,1,0.0,0,0,0.0,167.0,21.0,2.0
28,28,1,5,2,225.0,26.0,9.0,28.0,308593.0,95.0,0,1,1.0,0,0,2.0,169.0,24.0,2.0
28,27,1,6,2,225.0,26.0,9.0,28.0,308593.0,95.0,0,1,1.0,0,0,2.0,169.0,24.0,1.0
34,27,1,2,2,118.0,10.0,10.0,37.0,308593.0,95.0,0,1,0.0,0,0,0.0,172.0,28.0,2.0
28,27,1,3,2,225.0,26.0,9.0,28.0,308593.0,95.0,0,1,1.0,0,0,2.0,169.0,24.0,2.0
34,27,1,3,2,118.0,10.0,10.0,37.0,308593.0,95.0,0,1,0.0,0,0,0.0,172.0,28.0,2.0
34,27,1,4,2,118.0,10.0,10.0,37.0,308593.0,95.0,0,1,0.0,0,0,0.0,172.0,28.0,2.0
34,27,1,5,2,118.0,10.0,10.0,37.0,308593.0,95.0,0,1,0.0,0,0,0.0,172.0,28.0,2.0
34,27,1,6,2,118.0,10.0,10.0,37.0,308593.0,95.0,0,1,0.0,0,0,0.0,172.0,28.0,2.0
34,27,1,2,2,118.0,10.0,10.0,37.0,308593.0,95.0,0,1,0.0,0,0,0.0,172.0,28.0,2.0
34,27,1,3,2,118.0,10.0,10.0,37.0,308593.0,95.0,0,1,0.0,0,0,0.0,172.0,28.0,2.0
22,18,1,3,2,179.0,26.0,9.0,30.0,308593.0,95.0,0,3,0.0,0,0,0.0,171.0,19.0,8.0
11,18,1,3,2,289.0,36.0,13.0,33.0,308593.0,95.0,0,1,2.0,1,0,1.0,172.0,30.0,8.0
34,27,1,4,2,118.0,10.0,10.0,37.0,308593.0,95.0,0,1,0.0,0,0,0.0,172.0,28.0,2.0
27,23,1,5,2,184.0,42.0,7.0,27.0,308593.0,95.0,0,1,0.0,0,0,0.0,167.0,21.0,2.0
34,27,1,5,2,118.0,10.0,10.0,37.0,308593.0,95.0,0,1,0.0,0,0,0.0,172.0,28.0,2.0
28,23,1,3,2,225.0,26.0,9.0,28.0,308593.0,95.0,0,1,1.0,0,0,2.0,169.0,24.0,1.0
11,22,1,5,2,289.0,36.0,13.0,33.0,308593.0,95.0,0,1,2.0,1,0,1.0,172.0,30.0,3.0
27,23,2,6,2,184.0,42.0,7.0,27.0,302585.0,99.0,0,1,0.0,0,0,0.0,167.0,21.0,1.0
24,1,2,4,2,246.0,25.0,16.0,41.0,302585.0,99.0,0,1,0.0,1,0,0.0,170.0,23.0,8.0
3,11,2,4,2,179.0,51.0,18.0,38.0,302585.0,99.0,0,1,0.0,1,0,0.0,170.0,31.0,8.0
14,28,2,5,2,155.0,12.0,14.0,34.0,302585.0,99.0,0,1,2.0,1,0,0.0,196.0,25.0,2.0
6,23,2,5,2,189.0,29.0,13.0,33.0,302585.0,99.0,0,1,2.0,0,0,2.0,167.0,25.0,8.0
20,28,2,6,2,260.0,50.0,11.0,36.0,302585.0,99.0,0,1,4.0,1,0,0.0,168.0,23.0,2.0
11,22,2,6,2,289.0,36.0,13.0,33.0,302585.0,99.0,0,1,2.0,1,0,1.0,172.0,30.0,8.0
31,11,2,2,2,388.0,15.0,9.0,50.0,302585.0,99.0,0,1,0.0,0,0,0.0,178.0,24.0,8.0
31,1,2,3,2,388.0,15.0,9.0,50.0,302585.0,99.0,0,1,0.0,0,0,0.0,178.0,24.0,8.0
28,28,2,2,2,225.0,26.0,9.0,28.0,302585.0,99.0,0,1,1.0,0,0,2.0,169.0,24.0,2.0
28,23,2,3,2,225.0,26.0,9.0,28.0,302585.0,99.0,0,1,1.0,0,0,2.0,169.0,24.0,2.0
22,23,2,3,2,179.0,26.0,9.0,30.0,302585.0,99.0,0,3,0.0,0,0,0.0,171.0,19.0,1.0
27,23,2,3,2,184.0,42.0,7.0,27.0,302585.0,99.0,0,1,0.0,0,0,0.0,167.0,21.0,8.0
28,25,2,5,2,225.0,26.0,9.0,28.0,302585.0,99.0,0,1,1.0,0,0,2.0,169.0,24.0,3.0
18,18,2,2,2,330.0,16.0,4.0,28.0,302585.0,99.0,0,2,0.0,0,0,0.0,182.0,25.0,8.0
18,23,2,3,2,330.0,16.0,4.0,28.0,302585.0,99.0,0,2,0.0,0,0,0.0,182.0,25.0,1.0
28,23,2,4,2,225.0,26.0,9.0,28.0,302585.0,99.0,0,1,1.0,0,0,2.0,169.0,24.0,1.0
6,19,2,5,2,189.0,29.0,13.0,33.0,302585.0,99.0,0,1,2.0,0,0,2.0,167.0,25.0,8.0
19,28,3,3,2,291.0,50.0,12.0,32.0,343253.0,95.0,0,1,0.0,1,0,0.0,169.0,23.0,2.0
20,19,3,3,2,260.0,50.0,11.0,36.0,343253.0,95.0,0,1,4.0,1,0,0.0,168.0,23.0,8.0
30,19,3,3,2,157.0,27.0,6.0,29.0,343253.0,95.0,0,1,0.0,1,1,0.0,185.0,22.0,3.0
17,17,3,3,2,179.0,22.0,17.0,40.0,343253.0,95.0,0,2,2.0,0,1,0.0,170.0,22.0,8.0
15,22,3,4,2,291.0,31.0,12.0,40.0,343253.0,95.0,0,1,1.0,1,0,1.0,171.0,25.0,8.0
20,13,3,4,2,260.0,50.0,11.0,36.0,343253.0,95.0,0,1,4.0,1,0,0.0,168.0,23.0,8.0
22,13,3,5,2,179.0,26.0,9.0,30.0,343253.0,95.0,0,3,0.0,0,0,0.0,171.0,19.0,8.0
33,14,3,6,2,248.0,25.0,14.0,47.0,343253.0,95.0,0,1,2.0,0,0,1.0,165.0,32.0,3.0
20,13,3,6,2,260.0,50.0,11.0,36.0,343253.0,95.0,0,1,4.0,1,0,0.0,168.0,23.0,40.0
17,11,3,2,2,179.0,22.0,17.0,40.0,343253.0,95.0,0,2,2.0,0,1,0.0,170.0,22.0,40.0
14,1,3,2,2,155.0,12.0,14.0,34.0,343253.0,95.0,0,1,2.0,1,0,0.0,196.0,25.0,16.0
20,26,3,2,2,260.0,50.0,11.0,36.0,343253.0,95.0,0,1,4.0,1,0,0.0,168.0,23.0,16.0
14,13,3,3,2,155.0,12.0,14.0,34.0,343253.0,95.0,0,1,2.0,1,0,0.0,196.0,25.0,8.0
11,6,3,5,2,289.0,36.0,13.0,33.0,343253.0,95.0,0,1,2.0,1,0,1.0,172.0,30.0,8.0
17,8,3,5,2,179.0,22.0,17.0,40.0,343253.0,95.0,0,2,2.0,0,1,0.0,170.0,22.0,8.0
20,28,3,6,2,260.0,50.0,11.0,36.0,343253.0,95.0,0,1,4.0,1,0,0.0,168.0,23.0,4.0
28,23,3,6,2,225.0,26.0,9.0,28.0,343253.0,95.0,0,1,1.0,0,0,2.0,169.0,24.0,1.0
7,14,3,2,2,279.0,5.0,14.0,39.0,343253.0,95.0,0,1,2.0,1,1,0.0,168.0,24.0,8.0
3,13,3,3,2,179.0,51.0,18.0,38.0,343253.0,95.0,0,1,0.0,1,0,0.0,170.0,31.0,24.0
28,23,3,4,2,225.0,26.0,9.0,28.0,343253.0,95.0,0,1,1.0,0,0,2.0,169.0,24.0,2.0
28,11,3,2,3,225.0,26.0,9.0,28.0,343253.0,95.0,0,1,1.0,0,0,2.0,169.0,24.0,8.0
22,13,3,2,3,179.0,26.0,9.0,30.0,343253.0,95.0,0,3,0.0,0,0,0.0,171.0,19.0,1.0
28,11,3,3,3,225.0,26.0,9.0,28.0,343253.0,95.0,0,1,1.0,0,0,2.0,169.0,24.0,8.0
28,11,3,4,3,225.0,26.0,9.0,28.0,343253.0,95.0,0,1,1.0,0,0,2.0,169.0,24.0,16.0
